,Location Name,Phone Number,Street Address,City,State,Website,Insurance Accepted,Walk-Ins Accepted,Last Updated,Latitude,Longitude
35,SAFEWAY PHARMACY #1930,360-318-0698,8071 GUIDE MERIDIAN ROAD,Lynden,WA,https://www.safeway.com/vaccinations/home,True,True,2024-08-01,48.934254,-122.486995
36,SAFEWAY PHARMACY #1476,408-882-0988,1300 W San Carlos St,San Jose,CA,https://www.safeway.com/vaccinations/home,True,True,2024-08-01,37.322874,-121.911931
37,Publix Super Markets Inc. #433,904-223-0423,"14444 Beach Blvd., Suite 6",Jacksonville,FL,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,30.28548,-81.436428
38,Rite Aid #RA111176,302-836-2966,701 GOVERNORS PLACE,BEAR,DE,https://www.riteaid.com,True,False,2024-08-01,39.633407,-75.664947
39,Publix Super Markets Inc. #1691,205-710-6783,13556 Highway 69 N,Northport,AL,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,33.487239,-87.497414
40,"CVS Pharmacy, Inc. #16123",253-414-0303,3320 S 23RD ST,TACOMA,WA,https://www.cvs.com/store-locator/details-directions/016123,True,True,2024-08-01,47.237747,-122.480441
41,"CVS Pharmacy, Inc. #10915",213-742-6849,"1025 E. ADAMS BLVD., 1ST FLOOR",LOS ANGELES,CA,https://www.cvs.com/store-locator/details-directions/010915,True,True,2024-08-01,34.019262,-118.255449
42,Rite Aid #RA105380,541-673-1750,1430 NW GARDEN VALLEY BLVD,ROSEBURG,OR,https://www.riteaid.com,True,False,2024-08-01,43.234697,-123.37478
43,Publix Super Markets Inc. #1251,770-307-1637,"916 Loganville Hwy., Suite 200",Bethlehem,GA,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,33.943716,-83.754274
44,"CVS Pharmacy, Inc. #10644",305-273-1247,9701 SW 72ND ST.,MIAMI,FL,https://www.cvs.com/store-locator/details-directions/010644,True,True,2024-08-01,25.702056,-80.35077
45,"CVS Pharmacy, Inc. #7437",361-993-6661,2102 AIRLINE RD,CORPUS CHRISTI,TX,https://www.cvs.com/store-locator/details-directions/007437,True,True,2024-08-01,27.691301,-97.362901
46,"CVS Pharmacy, Inc. #200",603-668-4637,788 S. WILLOW ST.,MANCHESTER,NH,https://www.cvs.com/store-locator/details-directions/000200,True,True,2024-08-01,42.964711,-71.444431
47,H-E-B #638,936-321-2748,3601 FM 1488,THE WOODLANDS,TX,https://vaccine.heb.com/,False,True,2024-08-01,30.225744,-95.519724
48,Walmart Inc #22-Oct,860-456-2126,474 Boston Post Rd,North Windham,CT,https://www.walmart.com/store/2022,True,True,2024-08-01,41.740257,-72.174933
49,"CVS Pharmacy, Inc. #6116",859-331-6878,3516 DIXIE HWY,ERLANGER,KY,https://www.cvs.com/store-locator/details-directions/006116,True,True,2024-08-01,39.016621,-84.601606
50,"CVS Pharmacy, Inc. #7570",910-642-0194,902 N. J.K. POWELL BLVD.,WHITEVILLE,NC,https://www.cvs.com/store-locator/details-directions/007570,True,True,2024-08-01,34.340162,-78.707938
51,"CVS Pharmacy, Inc. #8669",317-849-8150,7240 EAST 82ND ST.,INDIANAPOLIS,IN,https://www.cvs.com/store-locator/details-directions/008669,True,True,2024-08-01,39.905938,-86.04018
52,Walmart Inc #Oct-87,812-883-8722,1309 E Hackberry St,Salem,IN,https://www.walmart.com/store/7087,True,True,2024-08-01,38.612338,-86.084079
53,"CVS Pharmacy, Inc. #1125",860-564-2111,10 LATHROP RD,PLAINFIELD,CT,https://www.cvs.com/store-locator/details-directions/001125,True,True,2024-08-01,41.667206,-71.914338
54,Publix Super Markets Inc. #67,803-799-0801,2800 Rosewood Dr,Columbia,SC,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,33.987245,-81.003245
55,"CVS Pharmacy, Inc. #4842",256-362-0163,410 EAST BATTLE ST.,TALLADEGA,AL,https://www.cvs.com/store-locator/details-directions/004842,True,True,2024-08-01,33.436109,-86.096398
56,"CVS Pharmacy, Inc. #278",781-643-4272,833 MASSACHUSETTS AVENUE,ARLINGTON,MA,https://www.cvs.com/store-locator/details-directions/000278,True,True,2024-08-01,42.417142,-71.160361
57,Walmart Inc #Oct-33,980-428-8133,11530 N Tryon St,Charlotte,NC,https://www.walmart.com/store/6233,True,True,2024-08-01,35.334136,-80.712519
58,Walmart Inc #Oct-00,740-774-2343,85 River Trce,Chillicothe,OH,https://www.walmart.com/store/2400,True,True,2024-08-01,39.347753,-82.971326
59,"CVS Pharmacy, Inc. #6058",718-966-5509,260 ARDEN AVE.,STATEN ISLAND,NY,https://www.cvs.com/store-locator/details-directions/006058,True,True,2024-08-01,40.553098,-74.192343
60,"CVS Pharmacy, Inc. #11398",301-290-5668,28948 THREE NOTCH RD.,MECHANICSVILLE,MD,https://www.cvs.com/store-locator/details-directions/011398,True,True,2024-08-01,38.463969,-76.766519
61,"CVS Pharmacy, Inc. #638",856-783-6328,74 SOUTH LAKEVIEW DR.,GIBBSBORO,NJ,https://www.cvs.com/store-locator/details-directions/000638,True,True,2024-08-01,39.843423,-74.966496
62,Publix Super Markets Inc. #1081,843-388-2908,1125 Park West Blvd.,Mount Pleasant,SC,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,32.874114,-79.779324
63,"CVS Pharmacy, Inc. #16335",480-893-0588,4734 E RAY RD,PHOENIX,AZ,https://www.cvs.com/store-locator/details-directions/016335,True,True,2024-08-01,33.321898,-111.981142
64,"CVS Pharmacy, Inc. #6424",615-868-2150,1200 GALLATIN PIKE SOUTH,MADISON,TN,https://www.cvs.com/store-locator/details-directions/006424,True,True,2024-08-01,36.247673,-86.721248
65,"CVS Pharmacy, Inc. #463",973-743-8100,331 BROAD STREET,BLOOMFIELD,NJ,https://www.cvs.com/store-locator/details-directions/000463,True,True,2024-08-01,40.805099,-74.193398
66,Walmart Inc #10-0871,417-934-2212,101 W US Highway 60,Mountain View,MO,https://www.walmart.com/store/871,True,True,2024-08-01,37.002571,-91.706372
67,Walmart Inc #Oct-78,740-376-9035,804 Pike St,Marietta,OH,https://www.walmart.com/store/2078,True,True,2024-08-01,39.404251,-81.418798
68,"CVS Pharmacy, Inc. #7206",209-726-4113,1970 YOSEMITE PARKWAY,MERCED,CA,https://www.cvs.com/store-locator/details-directions/007206,True,True,2024-08-01,37.293855,-120.452229
69,Walmart Inc #Oct-56,254-340-6601,733 Sun Valley Boulevard,Hewitt,TX,https://www.walmart.com/store/7156,True,True,2024-08-01,31.461435,-97.17296
70,Walmart Inc #23-Oct,402-466-0095,3400 N 85th St,Lincoln,NE,https://www.walmart.com/store/3823,True,True,2024-08-01,40.849475,-96.602138
71,"CVS Pharmacy, Inc. #11426",504-582-0322,888 TERRY PARKWAY,TERRYTOWN,LA,https://www.cvs.com/store-locator/details-directions/011426,True,True,2024-08-01,29.892996,-90.031414
72,"CVS Pharmacy, Inc. #6723",979-245-1657,2711 7TH ST.,BAY CITY,TX,https://www.cvs.com/store-locator/details-directions/006723,True,True,2024-08-01,28.98395,-95.95761
73,"CVS Pharmacy, Inc. #10259",219-322-3014,225 JOLIET ST.,DYER,IN,https://www.cvs.com/store-locator/details-directions/010259,True,True,2024-08-01,41.494425,-87.520516
74,"CVS Pharmacy, Inc. #9349",831-424-0026,347 E ALISAL ST,SALINAS,CA,https://www.cvs.com/store-locator/details-directions/009349,True,True,2024-08-01,36.675269,-121.643194
75,"CVS Pharmacy, Inc. #2876",972-347-6375,201 S. PRESTON RD.,PROSPER,TX,https://www.cvs.com/store-locator/details-directions/002876,True,True,2024-08-01,33.234941,-96.789474
76,"CVS Pharmacy, Inc. #17457",301-720-9001,15922 CRAIN HWY,BRANDYWINE,MD,https://www.cvs.com/store-locator/details-directions/017457,True,True,2024-08-01,38.672527,-76.872637
77,Walmart Inc #Oct-88,717-838-7761,100 N Londonderry Sq,Palmyra,PA,https://www.walmart.com/store/2888,True,True,2024-08-01,40.322875,-76.562731
78,"CVS Pharmacy, Inc. #18094",573-664-5202,942 VALLEY CREEK DR.,FARMINGTON,MO,https://www.cvs.com/store-locator/details-directions/018094,True,True,2024-08-01,37.79384,-90.441835
79,"CVS Pharmacy, Inc. #3708",817-251-2428,3701 IRA E. WOODS AVE.,GRAPEVINE,TX,https://www.cvs.com/store-locator/details-directions/003708,True,True,2024-08-01,32.913979,-97.126726
80,"CVS Pharmacy, Inc. #1952",516-873-1998,17 EAST JERICHO TURNPIKE,MINEOLA,NY,https://www.cvs.com/store-locator/details-directions/001952,True,True,2024-08-01,40.750917,-73.634212
81,Walmart Inc #3-Oct,520-745-4527,5500 E 22nd St,Tucson,AZ,https://www.walmart.com/store/4603,True,True,2024-08-01,32.20577,-110.874012
82,Hannaford #8447,518-885-2562,3 VIA ROSSI WAY,BALLSTON SPA,NY,https://hannafordsched.rxtouch.com/rbssched/program/wellness,True,True,2024-08-01,42.992334,-73.847309
83,Publix Super Markets Inc. #503,404-505-2876,3695 Cascade Rd. SW,Atlanta,GA,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,33.724976,-84.508373
84,"CVS Pharmacy, Inc. #16470",513-474-6367,8680 BEECHMONT AVE,CINCINNATI,OH,https://www.cvs.com/store-locator/details-directions/016470,True,True,2024-08-01,39.073806,-84.313333
85,Publix Super Markets Inc. #887,850-219-1301,3551 Blairstone Road,Tallahassee,FL,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,30.403848,-84.237676
86,"CVS Pharmacy, Inc. #819",714-536-6145,"155 5TH ST., SUITE 175",HUNTINGTON BEACH,CA,https://www.cvs.com/store-locator/details-directions/000819,True,True,2024-08-01,33.658251,-118.003046
87,"CVS Pharmacy, Inc. #17496",260-434-4581,1102 S THOMAS RD,FORT WAYNE,IN,https://www.cvs.com/store-locator/details-directions/017496,True,True,2024-08-01,41.076262,-85.204138
88,Food Lion #542,434-575-0078,1020 Bill Tuck Hwy #1000,South Boston,VA,https://foodlionsched.rxtouch.com/rbssched/program/wellness,True,True,2024-08-01,36.686315,-78.897438
89,Walmart Inc #Oct-49,214-574-4522,1635 Market Place Blvd,Irving,TX,https://www.walmart.com/store/2649,True,True,2024-08-01,32.920371,-96.967555
90,Hannaford #8436,603-622-2320,7 KILTON RD.,BEDFORD,NH,https://hannafordsched.rxtouch.com/rbssched/program/wellness,True,True,2024-08-01,42.95807,-71.481033
91,"CVS Pharmacy, Inc. #9933",559-322-1574,"1405 HERNDON AVE.,",CLOVIS,CA,https://www.cvs.com/store-locator/details-directions/009933,True,True,2024-08-01,36.838186,-119.690451
92,"CVS Pharmacy, Inc. #17656",309-407-3046,480 W WASHINGTON ST,EAST PEORIA,IL,https://www.cvs.com/store-locator/details-directions/017656,True,True,2024-08-01,40.672476,-89.583506
93,"CVS Pharmacy, Inc. #2684",856-694-3951,2037 WEST BLVD.,MALAGA,NJ,https://www.cvs.com/store-locator/details-directions/002684,True,True,2024-08-01,39.571159,-75.053587
94,"CVS Pharmacy, Inc. #7352",434-376-2306,240-B LUSARDI DR,BROOKNEAL,VA,https://www.cvs.com/store-locator/details-directions/007352,True,True,2024-08-01,37.047241,-78.945706
95,"CVS Pharmacy, Inc. #4313",508-771-4429,438 ROUTE 28,WEST YARMOUTH,MA,https://www.cvs.com/store-locator/details-directions/004313,True,True,2024-08-01,41.651255,-70.241473
96,Walmart Inc #10-0348,870-367-3559,427 Highway 425 N,Monticello,AR,https://www.walmart.com/store/348,True,True,2024-08-01,33.636078,-91.804313
97,Walmart Inc #10-0134,580-225-1575,210 Regional Drive,Elk City,OK,https://www.walmart.com/store/134,True,True,2024-08-01,35.409226,-99.376498
98,Publix Super Markets Inc. #1498,229-228-6419,13775 Highway 19 S,Thomasville,GA,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,30.8375,-83.946582
99,"CVS Pharmacy, Inc. #16909",281-340-0565,16300 SOUTHWEST FWY,SUGAR LAND,TX,https://www.cvs.com/store-locator/details-directions/016909,True,True,2024-08-01,29.595876,-95.627888
100,"CVS Pharmacy, Inc. #9925",805-238-2947,187 NIBLICK RD,PASO ROBLES,CA,https://www.cvs.com/store-locator/details-directions/009925,True,True,2024-08-01,35.616866,-120.681908
101,Walmart Inc #10-1131,828-632-4181,901 Nc Highway 16 S,Taylorsville,NC,https://www.walmart.com/store/1131,True,True,2024-08-01,35.909097,-81.175956
102,"CVS Pharmacy, Inc. #17222",713-331-0374,8605 WESTHEIMER RD,HOUSTON,TX,https://www.cvs.com/store-locator/details-directions/017222,True,True,2024-08-01,29.734788,-95.517623
103,Walmart Inc #Oct-41,909-599-3955,1950 Auto Centre Dr,Glendora,CA,https://www.walmart.com/store/1941,True,True,2024-08-01,34.116607,-117.825863
104,"CVS Pharmacy, Inc. #7466",903-567-6516,1215 S TRADE DAYS BLVD,CANTON,TX,https://www.cvs.com/store-locator/details-directions/007466,True,True,2024-08-01,32.545343,-95.864196
105,Hannaford #8107,207-947-3680,653 BROADWAY,BANGOR,ME,https://hannafordsched.rxtouch.com/rbssched/program/wellness,True,True,2024-08-01,44.825025,-68.777415
106,SAFEWAY PHARMACY #469,425-347-3145,12811 BEVERLY PARK RD.,Lynnwood,WA,https://www.safeway.com/vaccinations/home,True,True,2024-08-01,47.881078,-122.281031
107,Walmart Inc #Oct-79,707-994-1671,15960 Dam Rd,Clearlake,CA,https://www.walmart.com/store/1979,True,True,2024-08-01,38.931659,-122.616264
108,"CVS Pharmacy, Inc. #983",978-957-6550,2019 LAKEVIEW AVENUE,DRACUT,MA,https://www.cvs.com/store-locator/details-directions/000983,True,True,2024-08-01,42.683466,-71.352825
109,Walmart Inc #Oct-92,612-354-5934,20710 Keokuk Ave,Lakeville,MN,https://www.walmart.com/store/5992,True,True,2024-08-01,44.650369,-93.297147
110,"CVS Pharmacy, Inc. #1282",610-658-0737,317 W. LANCASTER AVE.,ARDMORE,PA,https://www.cvs.com/store-locator/details-directions/001282,True,True,2024-08-01,40.011113,-75.296755
111,Walmart Inc #Oct-98,404-460-6160,844 Cleveland Ave,East Point,GA,https://www.walmart.com/store/6998,True,True,2024-08-01,33.678634,-84.416749
112,Food Lion #2666,803-278-2476,135 Market Plaza Drive,North Augusta,SC,https://foodlionsched.rxtouch.com/rbssched/program/wellness,True,True,2024-08-01,33.570014,-81.939833
113,"CVS Pharmacy, Inc. #2704",215-474-4801,4849 MARKET ST.,PHILADELPHIA,PA,https://www.cvs.com/store-locator/details-directions/002704,True,True,2024-08-01,39.959616,-75.218518
114,"CVS Pharmacy, Inc. #8813",702-293-6705,"1017 NEVADA WAY,",BOULDER CITY,NV,https://www.cvs.com/store-locator/details-directions/008813,True,True,2024-08-01,35.973871,-114.845157
115,"CVS Pharmacy, Inc. #10281",573-785-7582,225 N. WESTWOOD BLVD.,POPLAR BLUFF,MO,https://www.cvs.com/store-locator/details-directions/010281,True,True,2024-08-01,36.758947,-90.408468
116,Walmart Inc #Oct-93,248-277-4562,26090 Ingersol Dr,Novi,MI,https://www.walmart.com/store/5893,True,True,2024-08-01,42.481823,-83.47069
117,Walmart Inc #10-0249,281-592-2636,831 Highway 59 S,Cleveland,TX,https://www.walmart.com/store/249,True,True,2024-08-01,30.33361,-95.098104
118,"CVS Pharmacy, Inc. #2521",828-294-1644,2701 SOUTH NC HIGHWAY 127,HICKORY,NC,https://www.cvs.com/store-locator/details-directions/002521,True,True,2024-08-01,35.691102,-81.358804
119,"CVS Pharmacy, Inc. #17394",310-507-0021,651 W SEPULVEDA BLVD,CARSON,CA,https://www.cvs.com/store-locator/details-directions/017394,True,True,2024-08-01,33.80976,-118.286099
120,Publix Super Markets Inc. #1209,305-459-7222,1100 6th Street,Miami Beach,FL,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,25.775345,-80.139939
121,"CVS Pharmacy, Inc. #3106",904-781-0738,1625 FOURAKER ROAD,JACKSONVILLE,FL,https://www.cvs.com/store-locator/details-directions/003106,True,True,2024-08-01,30.292319,-81.781072
122,Walmart Inc #10-0666,863-385-3373,3525 US Highway 27 N,Sebring,FL,https://www.walmart.com/store/666,True,True,2024-08-01,27.512605,-81.496887
123,Walmart Inc #Oct-88,225-262-1413,10200 Sullivan Rd,Baton Rouge,LA,https://www.walmart.com/store/3288,True,True,2024-08-01,30.541704,-91.025256
124,"CVS Pharmacy, Inc. #17397",912-644-1601,1907 E VICTORY DR,SAVANNAH,GA,https://www.cvs.com/store-locator/details-directions/017397,True,True,2024-08-01,32.040438,-81.069084
125,VONS PHARMACY #2162,310-832-0319,1440 W. 25th St,San Pedro,CA,https://www.vons.com/vaccinations/home,True,True,2024-08-01,33.72308,-118.310973
126,Walmart Inc #Oct-56,910-364-0412,4220 Legion Road,Hope Mills,NC,https://www.walmart.com/store/3456,True,True,2024-08-01,34.983501,-78.93289
127,Walmart Inc #10-1709,260-665-7033,2016 N Wayne St,Angola,IN,https://www.walmart.com/store/1709,True,True,2024-08-01,41.661597,-84.99573
128,SAV-ON PHARMACY #577,541-882-8863,5500 SOUTH 6TH STREET,Klamath Falls,OR,https://www.albertsons.com/vaccinations/home,True,True,2024-08-01,42.205743,-121.720064
129,"CVS Pharmacy, Inc. #17576",704-691-6002,425 COX RD,GASTONIA,NC,https://www.cvs.com/store-locator/details-directions/017576,True,True,2024-08-01,35.264588,-81.138739
130,OSCO DRUG #3340,630-790-2294,599 ROOSEVELT RD,Glen Ellyn,IL,https://www.jewelosco.com/vaccinations/home,True,True,2024-08-01,41.85854,-88.062742
131,"CVS Pharmacy, Inc. #18069",618-451-0521,3100 MADISON AVE.,GRANITE CITY,IL,https://www.cvs.com/store-locator/details-directions/018069,True,True,2024-08-01,38.716951,-90.123909
132,"CVS Pharmacy, Inc. #1470",301-627-6603,7600 SE CRAIN HIGHWAY,UPPER MARLBORO,MD,https://www.cvs.com/store-locator/details-directions/001470,True,True,2024-08-01,38.784396,-76.792573
133,"CVS Pharmacy, Inc. #10990",804-364-0989,12410 W BROAD ST.,RICHMOND,VA,https://www.cvs.com/store-locator/details-directions/010990,True,True,2024-08-01,37.662675,-77.645648
134,PAVILLIONS PHARMACY #2217,949-858-0670,22451 Antonio Parkway,Rancho Santa Margarita,CA,https://www.pavilions.com/vaccinations/home,True,True,2024-08-01,33.637039,-117.591717
135,"CVS Pharmacy, Inc. #5257",913-390-9892,1785 S MUR LEN RD,OLATHE,KS,https://www.cvs.com/store-locator/details-directions/005257,True,True,2024-08-01,38.855239,-94.780607
136,"CVS Pharmacy, Inc. #2875",813-968-1457,11212 N. DALE MABRY HIGHWAY,TAMPA,FL,https://www.cvs.com/store-locator/details-directions/002875,True,True,2024-08-01,28.050708,-82.505021
137,Publix Super Markets Inc. #180,561-473-7596,7745 Lake Worth Rd,Lake Worth,FL,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,26.618905,-80.168586
138,Walmart Inc #Oct-80,269-323-3959,8350 Shaver Rd,Portage,MI,https://www.walmart.com/store/5280,True,True,2024-08-01,42.194093,-85.599753
139,"CVS Pharmacy, Inc. #5857",210-680-0299,7603 CULEBRA,SAN ANTONIO,TX,https://www.cvs.com/store-locator/details-directions/005857,True,True,2024-08-01,29.459786,-98.638318
140,"CVS Pharmacy, Inc. #17423",209-827-2081,1405 W PACHECO BLVD,LOS BANOS,CA,https://www.cvs.com/store-locator/details-directions/017423,True,True,2024-08-01,37.054181,-120.875912
141,Walmart Inc #10-1161,636-723-4233,2897 Veteran's Memorial Pkwy,Saint Charles,MO,https://www.walmart.com/store/1161,True,True,2024-08-01,38.782017,-90.526725
142,Giant #6122,570-329-3388,1969 EAST THIRD STREET,WILLIAMSPORT,PA,https://giantsched.rxtouch.com/rbssched/program/wellness,True,True,2024-08-01,41.249814,-76.960885
144,"CVS Pharmacy, Inc. #704",508-393-6027,24 WEST MAIN STREET,NORTHBOROUGH,MA,https://www.cvs.com/store-locator/details-directions/000704,True,True,2024-08-01,42.320362,-71.643
145,Publix Super Markets Inc. #1537,850-203-6469,1430 Tiger Park Lane,Gulf Breeze,FL,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,30.388223,-87.061704
146,Walmart Inc #Oct-50,804-435-6317,200 Old Fairgrounds Way,Kilmarnock,VA,https://www.walmart.com/store/4350,True,True,2024-08-01,37.727032,-76.385071
147,"CVS Pharmacy, Inc. #11271",908-689-4210,30 BELVIDERE AVENUE,WASHINGTON TOWNSHIP,NJ,https://www.cvs.com/store-locator/details-directions/011271,True,True,2024-08-01,40.75928,-74.979735
148,Walmart Inc #17-Oct,360-698-3446,6797 State Highway 303 NE,Bremerton,WA,https://www.walmart.com/store/2317,True,True,2024-08-01,47.624908,-122.632762
149,"CVS Pharmacy, Inc. #3401",305-382-4161,12955 SW 112TH ST,MIAMI,FL,https://www.cvs.com/store-locator/details-directions/003401,True,True,2024-08-01,25.664127,-80.405744
150,"CVS Pharmacy, Inc. #4395",843-871-7701,10599 DORCHESTER RD.,SUMMERVILLE,SC,https://www.cvs.com/store-locator/details-directions/004395,True,True,2024-08-01,32.967003,-80.200999
151,Publix Super Markets Inc. #1609,256-822-7592,"2934 Point Mallard Pkwy, SE",Decatur,AL,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,34.542225,-86.921032
152,"CVS Pharmacy, Inc. #11082",617-556-3922,341 HARRISON AVE,BOSTON,MA,https://www.cvs.com/store-locator/details-directions/011082,True,True,2024-08-01,42.34504,-71.064004
